"","SRR2166176","SRR2167642"
"CDK15",0.121638457560359,0.144845137629028
"OBP2A",0,0.0900358313833454
"PLA2G4C-AS1",3.28569299960155,3.44315720810628
"ZSWIM6",7.37069084901414,7.03102208135704
"PRAMEF7",0,0
"ZNF695",0.0556855418013541,0.0653295134354129
"PNLIPRP1",0.221727440124285,0.332189962721224
"KCTD10",4.07375763931528,4.16943020721533
"SERPINA13P",0,0
"CFHR3",0,0.00812724074136893
"MAGEB10",0,0
"LTA4H",15.2363954612645,11.7472464572194
"NLRP10",0,0
"CSF3",0.780629595260064,0.0828978555619631
"MIR1283-1",0,0
"CDH13",0.392621149112685,0.296111406834365
"LINC00700",0,0
"MMP27",0,0
"LIMS4",0.0351107763985036,0
"OGFR-AS1",0.984047837923331,0.642830676363725
"CLVS2",29.0987934652757,22.3051170371616
"EVC",0.087781852968335,0.171640775366124
"OR4K2",0,0
"LINC02367",0.0408558852075569,0.00699001972605431
"SOSTDC1",0.253726116060517,0.297667997327227
"BCL2",0.393649550433032,0.881190464647607
"MIR2278",0,0
"WASHC2C",13.1422677926232,18.6120369502675
"DMD",1.95139605146385,2.2075554270406
"AMIGO2",0.173716690204224,0.19383345903644
"LINC00399",0,0
"RBM45",3.11034214384052,3.81479157649794
"C2orf16",0.187980570719461,0.168229556859089
"LINC01935",0,0
"CFAP99",0.155202060274801,0.961825638503654
"CAP2",13.5717776247977,15.1547855882853
"MIR4300HG",0,0.0166696774771339
"PDF",2.24481567548878,4.07903265105411
"NMRAL1",1.48510354302804,1.88831997447838
"SMC2-AS1",0.0862769334207619,0.116746815878706
"ACAP2",13.3664068564032,10.8959441017788
"MEF2C",1.81995387767168,2.22572455924382
"HIGD1A",76.8833771834003,80.5351429503045
"SEC22B",9.64444912611347,11.0819218734859
"SMG1P6",1.94776133330689,1.93664102840149
"FIP1L1",8.30745514737462,8.67485756801536
"CD33",0.130018583864986,0.102668473834063
"MIR8052",0,0
"SERP1",13.4136973107755,13.0331526734742
"ZBTB9",1.60598601720322,2.31008324109133
"TMEM239",0.00767709936154331,0.00788083416185158
"LIN28A",0.00745490786305553,0.00765274614718721
"MRNIP",28.9332344836801,31.0187851631006
"ACSM4",0.0241253699758794,0.0371484132716104
"BSND",0.232356079869936,0.300361469749279
"SCUBE1",0.0320091074822122,0.0252758191659879
"INTS4P2",1.36087770169364,2.42419315059297
"KIF11",0.16599594841737,0.258757298122424
"GABRD",163.096185169083,153.870115056153
"NOP14",10.0751752298321,10.7326714863518
"ATP9B",0.900580832003146,1.27372860454885
"BMP8B",0.910877809026049,0.96685512169324
"RPS2P32",0.301472462372353,0.343858817913972
"MIR3910-2",0,0
"FMR1",18.0182800517298,16.2725663657833
"LINC01375",0,0
"ZNF559",2.32144709816773,4.5309672668498
"AEBP2",6.43777348335655,6.30992441666409
"RNF216-IT1",0,0.0910154497267844
"ZBTB39",1.36563279443528,1.42175868323613
"AMY2A",1.44831027702405,1.45442496850019
"ASB3",2.73225272772074,2.7511980798902
"AANAT",0.122791523486822,0.196078032790397
"LOC101929488",0,0
"OR51I1",0,0
"GTF3C3",4.2558510856732,4.62349517572683
"TTPAL",1.9215374267394,3.90151860816326
"LOC100289361",0.639128785350301,1.03880913476043
"LOC283177",0.108586083761817,0.0966053749855947
"MIR548I3",0,0
"LYNX1",15.6051034667179,14.3583917766613
"PDILT",0,0.0134763649200028
"TSPAN4",2.89533765190235,2.73061931349455
"PAXIP1-AS1",21.2571939263201,10.7543064660105
"KRT20",0,0
"CD40LG",0.0164442876803118,0.0168806860527938
"SLC25A25",6.05939019162109,8.06574637605113
"DPEP1",0.0218335920461283,0.0224130117339615
"DRD5",0,0
"OSBPL6",4.36769071310269,4.74529958675214
"SWSAP1",0.425832836795153,0.473561383910977
"LCN10",0.0560718193105824,0.0359749079966295
"KAT5",19.1509152064798,23.2424973595433
"MYBBP1A",5.54907623147281,7.71873519860116
"AGBL4-IT1",0,0
"PPP3CC",8.67828421598364,7.51199263750524
"ZNF827",5.5981557844065,7.17248800334765
"TAS2R19",1.58044046696777,1.53054922943744
"PHB",6.81976059052915,8.82285462218621
"ZNF480",2.44668966153642,2.57504463658356
"SNRPN",141.816873158651,139.621894857232
"SEC11A",3.68552591110382,4.28493073521483
"NSDHL",4.22142001085456,4.37954853156764
"TMEM139",0.291334542854198,0.370841810957768
"UBL7",13.2831983338335,13.1312841868682
"ZNF773",1.41383394192721,1.45135425555901
"AKR1C2",1.05439927612581,0.816532971360986
"CCNDBP1",8.91797890595753,10.1595346037977
"LINC01318",0,0
"CCDC28B",5.85285927421926,6.22587017428455
"MEAK7",0.684817210899457,0.718028122633157
"PLPPR3",0.0327025947265158,0
"ZNF579",1.51150782298743,1.85640274560168
"EID3",1.996024901215,2.13262785883332
"TXNDC2",0.0176174945254284,0.00904251372580375
"ROBO4",0.429092327915226,0.436118392690549
"MFSD9",6.43837731690729,5.38010309671893
"NXT2",0.702123854924646,1.20126135344359
"LINGO1-AS1",0.1318203119785,0.0789358257005457
"OR2J2",0,0
"FAM217A",0.0095217561233673,0.0195488888195834
"TRPV3",0.424664481534008,0.373209875295832
"ZNF586",1.30109059845077,2.67123786030392
"SIKE1",11.0361676869411,9.64816270077968
"SNORD102",11.2047265181725,8.94606024606185
"LOC388282",0,0.0145090854105612
"TSEN34",1.2484844906377,1.14306359843204
"GPX8",0.0463484033843742,0.0951567938715398
"LINC01922",0,0
"NCOA5",8.82459206524391,17.4888730560102
"NUTM1",0.0569671510297933,0.058478944819688
"IGSF11-AS1",0.0186279742613009,0
"ZNF770",19.9579684699494,23.1775636979366
"SNHG15",4.66991617977026,6.03015412723696
"IRGQ",10.660139040223,10.2748317844264
"COG8",8.02947584542721,9.69229065844896
"C1orf210",0.0591278444230737,0
"SELENOS",2.80861971140595,4.2921542368633
"ANP32E",74.8017803617247,61.7953498558166
"MALSU1",2.6224859781129,2.7478346565787
"SMIM11B",2.34252376790655,3.03600934477162
"SEPSECS",4.23833044161937,3.39599206113112
"SNORA5A",1.11489816101219,1.37338238319073
